Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input
1,0.56538-0.56248i,-0.48997+0.49169i,-0.64634+0.64152i,0.491-0.49253i,-0.48124+0.48345i,0.48798+0.64781i,-0.48294+0.63983i,0.48056-0.49319i,-0.48189+0.48179i,0.48022-0.48155i,0.64708+0.48435i,-0.49398+0.65253i,0.48504+0.6386i,-0.48345+0.64094i,-0.64661-0.4943i,0.49096-0.64729i,0.64255+0.49432i,0.63454-0.4827i,-0.48933+0.48164i,0.48218+0.64634i,-0.48703-0.49161i,0.48305-0.64453i,-0.48543-0.64121i,-0.64794+0.4919i,0.48838-0.47839i,0.64982-0.64842i,0.63948-0.64193i,0.63825+0.49224i,-0.4921+0.64814i,-0.64585-0.49101i,0.49102+0.48086i,-0.48382-0.48292i,0.4822-0.64694i,-0.48071+0.49179i,-0.64532-0.48822i,0.49407-0.64953i,-0.48632+0.49229i,0.48438-0.48643i,-0.48539-0.64794i,0.48318+0.49402i,-0.48453-0.48397i,0.48234+0.48277i,0.64519-0.48329i,0.63553+0.4829i,-0.48894-0.48599i,-0.64429-0.6457i,-0.634+0.48903i,-0.64159+0.64743i,0.48734+0.6434i,0.64393-0.48929i,0.64312-0.64529i,-0.49818-0.63871i,-0.64848+0.49002i,0.48739-0.48423i,-0.48233-0.64539i,0.4827+0.48584i,-0.47991-0.48531i,-0.64844-0.64818i,-0.64026-0.64128i,-0.63621+0.49419i,0.4932-0.48029i,-0.48459+0.48031i,-0.65058-0.48342i,0.49392+0.48381i,-0.48236-0.48615i,0.48351+0.48271i,0.64794-0.48412i,-0.49282+0.48745i,-0.646+0.64687i,0.49358+0.63923i,0.64958-0.49229i,0.6417-0.64805i,-0.49006+0.49296i,0.48524+0.64521i,-0.48456-0.49238i,0.48301-0.64791i,-0.48657+0.49002i,0.48455+0.6441i,-0.48093+0.63719i,0.48701+0.63818i,0.64622-0.49074i,0.63749+0.48557i,-0.49033-0.48365i,0.48711-0.65037i,-0.48299-0.63922i,-0.64399-0.64072i,0.4925+0.49258i,-0.4799-0.48377i,-0.64569+0.48676i,0.48745-0.48315i,0.6456+0.48526i,-0.49372+0.64412i,-0.64649+0.63635i,0.48825-0.49131i,0.64474+0.48007i,-0.49117+0.65136i,-0.6461-0.49038i,-0.63917-0.64888i,-0.63864-0.64257i,0.49057+0.49089i
2,-0.75973+0.24954i,0.14637-0.21956i,-0.71808-0.28992i,0.65292-0.28384i,-0.14326+0.21908i,0.71561-0.72582i,-0.65399-0.35776i,-0.86947-0.78463i,-0.85898-0.86234i,0.14985-0.35026i,-0.21574+0.22465i,0.72105+0.28617i,0.86276-0.72354i,0.86031+0.14377i,-0.15526+0.80425i,-0.29487+0.86644i,0.2202+0.85803i,0.79848-0.66234i,0.35462+0.64639i,-0.2255+0.36519i,-0.29207+0.78425i,0.72533-0.15098i,0.86025+0.21229i,0.35538+0.79626i,-0.72918-0.14991i,0.1455+0.21287i,0.29219+0.7987i,0.28198-0.14882i,-0.7257+0.71623i,0.65581+0.86617i,0.36323+0.35438i,-0.22361-0.22425i,0.72114+0.72102i,0.35787-0.65362i,0.28654-0.36251i,0.79423+0.22287i,-0.15151-0.21869i,0.21498+0.72606i,-0.2191-0.14527i,-0.28953-0.79402i,0.22134+0.65808i,0.79537-0.64658i,0.35773+0.14092i,0.78878+0.797i,0.86092-0.15176i,-0.65911+0.71822i,-0.87043-0.1464i,-0.352+0.2142i,-0.78915-0.21691i,0.65567-0.797i,-0.14281+0.14799i,0.21288+0.29319i,0.80172-0.21734i,-0.14749+0.72075i,-0.29139-0.14378i,-0.79047+0.72389i,-0.35286+0.35501i,0.22163+0.78838i,0.79278+0.86167i,0.35592+0.34938i,-0.22345+0.788i,0.21163+0.86261i,0.7941-0.15301i,0.86324+0.21201i,0.86109-0.21753i,-0.15418-0.28847i,0.21556-0.28762i,0.29077-0.28647i,0.79195-0.79149i,-0.65541+0.65513i,-0.86782+0.86754i,-0.86057+0.86013i,-0.85751+0.85963i,-0.86039-0.15388i,0.66001+0.21307i,-0.1434-0.2127i,-0.79647-0.29251i,0.15212+0.72659i,-0.72139-0.65518i,-0.35523-0.86952i,0.2219-0.86088i,0.28642-0.8598i,-0.72902-0.86084i,0.65544-0.35485i,0.36322-0.79483i,-0.22217+0.65413i,-0.79333+0.36054i,0.14981-0.22334i,-0.71592-0.28726i,0.14805+0.22048i,0.79802+0.80049i,0.85951-0.15148i,-0.65816+0.21189i,-0.36061-0.72219i,-0.2834-0.86975i,0.22305-0.85962i,0.29393-0.85909i,-0.22441+0.66123i,0.72095-0.14292i,0.35455-0.7989i
3,0.86355-0.86388i,-0.4962+0.74142i,0.76951-0.74026i,-0.74282+0.24101i,-0.98903+0.91985i,-0.73427+0.23987i,0.041393-0.60444i,0.63983-0.45516i,-0.78192+0.32334i,-0.24491-0.31939i,0.35771-0.17717i,-0.8112+0.35771i,0.74204-0.56754i,-0.74142+0.28072i,-0.00087561+0.9191i,-0.84052+0.48896i,0.49509-0.82088i,-0.27585-0.98503i,-0.6735+0.75289i,0.78106+0.99206i,0.73693+0.23861i,-0.78685+0.87517i,-0.98686-0.0052245i,0.5057-0.14806i,-0.034659+0.35553i,0.84266+0.42168i,0.98486-0.076749i,0.47958+0.84677i,-0.32566-0.49788i,0.31587+0.27416i,0.42475+0.4274i,0.17088+0.17407i,-0.3552-0.59886i,-0.92068-0.9525i,0.0055782+0.50161i,0.6388-0.033602i,-0.53181-0.6403i,0.77419-0.94709i,0.49247-0.23644i,-0.81704-0.87577i,0.49469-0.49027i,-0.52996+0.3298i,-0.95031+0.91895i,0.2547+0.98014i,0.18265+0.48163i,-0.85526-0.57375i,-0.49316-0.94974i,0.33159+0.25709i,-0.55976+0.18327i,0.28668-0.84515i,0.17907-0.49143i,-0.85042+0.81684i,-0.73425+0.73589i,-0.94542+0.94704i,-0.98102+0.73216i,-0.72971-0.29156i,0.53894+0.8094i,-0.033867+0.98452i,-0.14321+0.24063i,-0.38335-0.85242i,-0.4207-0.98205i,-0.91485-0.73418i,0.75238+0.78521i,0.49432-6.9697e-05i,0.90793+0.83829i,-0.74855-0.49379i,0.24622+0.27774i,-0.80861+0.42831i,-0.73932-0.075226i,0.78395+0.10567i,0.49738-0.59993i,-0.080096+0.28275i,-0.63655-0.31383i,-0.9455-0.91786i,0.49973+0.25405i,0.95553+0.92141i,0.73498+0.23836i,0.69428+0.13206i,-0.53586+0.38504i,0.77398-0.81285i,0.24526-0.98601i,-0.85206-0.73313i,0.2483+0.042345i,0.67578+0.14512i,-0.78375-0.11059i,-0.00090168-0.39004i,-0.59437-0.66723i,-0.45283+0.53517i,-0.6631+0.70749i,-0.45397+0.69591i,0.07729-0.78595i,-0.3494-0.98812i,0.068738-0.72967i,0.63483-0.20198i,-0.29023-0.63459i,0.80761-0.20806i,0.24583+0.60416i,-0.114+0.95288i,-0.8828-0.50205i,-0.23981+0.2788i
4,-0.12193+0.86625i,-0.38926+0.24255i,-0.41933+0.13116i,0.074493+0.14292i,0.63821+0.13823i,0.94542+0.6316i,-0.74814+0.6981i,-0.24712-0.5338i,0.11045+0.77633i,0.14181+0.24702i,0.87822-0.85509i,-0.74693-0.73814i,0.74005-0.20233i,0.98657+0.84919i,0.4815-0.0021631i,-0.81696+0.34805i,0.0016081+0.66957i,0.88586+0.70157i,-0.0057652-0.78154i,0.34926-0.7373i,-0.070429+0.54192i,0.10941+0.70482i,0.14005-0.042884i,0.88351-0.14464i,-0.74926+0.84279i,0.23903+0.73519i,0.42849-0.78443i,0.41799+0.0017266i,-0.076806-0.84348i,-0.88296+0.00038274i,0.0053355+0.88967i,0.64083-0.0077024i,-0.037414+0.35145i,0.34934+0.41945i,-0.81319-0.075183i,0.74362-0.14379i,0.98752+0.35242i,-0.25465+0.66873i,-0.17835+0.94884i,-0.87786-0.25474i,0.25316+0.067786i,-0.8073+0.13965i,0.0011069-0.35319i,0.14545+0.31759i,-0.10656-0.80867i,-0.1376-0.73809i,-0.88159+0.2949i,-0.48866-0.80632i,-0.90778-0.98877i,-0.23709+0.75343i,-0.38369+0.49372i,-0.41856+0.41548i,-0.66415+0.17457i,0.53353-0.35376i,-0.28297+0.075017i,-0.91651-0.59739i,0.74734+0.78016i,0.4952+0.73875i,0.91047+0.20446i,-0.01036-0.84953i,0.59483+0.49856i,-0.77731-0.53059i,0.49459-0.45754i,-0.7736+0.57251i,0.7426+0.94949i,0.73668+0.97564i,-0.045672-0.25758i,0.59619-0.67637i,-0.032783-0.20529i,-0.88402+0.60226i,-0.97923+0.95086i,-0.97817+0.97948i,0.50101-0.25641i,0.21244-0.92598i,0.38128+0.50565i,0.42294-0.77059i,0.6655-0.49559i,-0.77614-0.41234i,0.24939+0.073603i,-0.56134-0.60101i,0.0398+0.52899i,0.88314+0.70514i,0.98534+0.9483i,0.48302-0.49639i,0.66344-0.21519i,0.94624+0.60712i,0.97588-0.77782i,0.97501+0.24575i,-0.50252+0.67515i,0.52664+0.94674i,0.95939+0.72816i,0.48485-0.7823i,0.91093-0.98634i,0.98287+0.50565i,0.48677+0.46451i,-0.077777+0.91051i,0.84499-0.0094314i,0.4906-0.63758i,-0.078444+0.03774i,-0.38914+0.14404i
5,0.56548-0.56748i,0.64406+0.48981i,-0.49264+0.65099i,0.48183+0.6389i,0.64591-0.49392i,0.63713+0.48856i,0.64004-0.48312i,0.63896-0.64966i,0.63946-0.63864i,0.63679-0.63728i,-0.48971-0.63977i,0.48702+0.49619i,0.64571-0.48227i,0.64015+0.48601i,0.63892+0.64815i,-0.49204+0.63887i,0.48264+0.64246i,-0.48363+0.6384i,-0.6463+0.64064i,0.49277+0.63774i,0.64704+0.63577i,-0.48925+0.63939i,0.48485-0.4911i,0.64722+0.48453i,-0.4925+0.65152i,-0.64757-0.49145i,0.49166+0.48341i,-0.4818+0.64817i,-0.64842-0.49346i,-0.63799-0.64103i,0.49048-0.64044i,-0.48518+0.49177i,0.4869+0.64691i,-0.48396-0.49556i,-0.64507+0.48767i,0.49093-0.48623i,-0.47668+0.48408i,-0.64644+0.64621i,-0.63549+0.64579i,-0.63998-0.49175i,-0.64315-0.64562i,0.49537-0.637i,0.65149+0.49235i,0.63996-0.48558i,-0.49165-0.64784i,-0.64803-0.64363i,-0.64395-0.63768i,-0.63806-0.63579i,0.49052+0.49162i,-0.48531-0.48701i,0.48091+0.48264i,-0.48323+0.64977i,0.48444+0.63828i,0.64964-0.4933i,-0.49077+0.48491i,0.48289-0.48376i,0.64953-0.64803i,0.6407-0.64133i,0.63814-0.63849i,0.64183-0.6439i,0.64166-0.64126i,-0.49436-0.63564i,-0.64435+0.49099i,0.49063-0.48401i,-0.48392-0.64881i,0.48425+0.49226i,0.64613-0.48416i,-0.49133-0.64598i,-0.64771-0.63646i,-0.64183+0.48974i,-0.63964-0.48183i,0.49105-0.64334i,-0.48378+0.49296i,-0.64644-0.48578i,-0.63929-0.64464i,0.49152-0.63778i,0.64763-0.64129i,0.63958+0.49187i,0.63798-0.48147i,0.64322-0.64685i,0.63965-0.64122i,-0.49175+0.49154i,0.48597-0.48915i,0.64773-0.64531i,-0.49174+0.49559i,0.48256+0.64479i,0.64927+0.63943i,-0.4869+0.64224i,-0.64713+0.64i,-0.63818-0.49233i,0.4907+0.48423i,-0.48409+0.65123i,-0.6509-0.48511i,0.4914+0.47999i,0.64487+0.65108i,0.63693+0.63617i,0.64238-0.49317i,0.63714-0.64916i,0.63695-0.64014i,0.6366+0.48982i
6,-0.25126-0.254i,-0.28754+0.21886i,-0.28456-0.72254i,0.72638+0.64877i,-0.14245+0.36376i,0.72277+0.28109i,0.86607+0.79441i,-0.65828+0.86131i,-0.87211-0.15301i,-0.35222-0.79641i,-0.28355+0.65822i,-0.79253+0.86761i,0.65454+0.35353i,-0.64632-0.22222i,-0.86735-0.79706i,-0.35361+0.14755i,0.22514+0.79794i,-0.72253-0.6559i,-0.36141+0.64601i,0.73409-0.64964i,-0.14583-0.3577i,-0.80415+0.72839i,-0.35143+0.86453i,-0.27873-0.66051i,0.72328+0.6552i,-0.1445+0.8669i,0.21488-0.15913i,-0.21749+0.21663i,0.21181-0.21995i,0.79736+0.21556i,0.35424-0.72051i,-0.22512+0.65502i,0.21669-0.14434i,0.29178+0.21419i,0.28459+0.79785i,0.79338+0.86118i,0.3607+0.85964i,0.78707-0.65816i,-0.14786-0.36242i,-0.28907+0.7294i,-0.28643+0.36452i,0.22067+0.27977i,0.2897+0.79269i,-0.22353+0.86139i,0.72373+0.86053i,0.35707-0.15533i,-0.73084+0.71984i,-0.35801-0.65066i,0.22475-0.87014i,-0.71918+0.15555i,-0.35637+0.29188i,0.22354+0.2866i,-0.21815+0.28803i,0.21011+0.79072i,0.29037+0.8615i,0.79063+0.86113i,-0.14774-0.15208i,0.71947+0.71658i,0.86467+0.35995i,0.35271+0.28572i,0.28066+0.28938i,-0.21885+0.29057i,-0.29221-0.72581i,0.22149-0.86803i,0.79392+0.66047i,-0.14867+0.87037i,-0.29574+0.8564i,0.22233+0.35578i,-0.72224-0.7295i,0.1467+0.14605i,-0.72059+0.29412i,0.14697+0.79243i,-0.71472+0.86438i,-0.86547+0.85996i,0.66041+0.3482i,-0.14709-0.22435i,0.71443+0.21581i,0.86821+0.29006i,-0.65605+0.79057i,-0.87144+0.85977i,0.1521-0.66013i,-0.71952-0.3626i,0.65581+0.22406i,0.36067+0.79814i,-0.22359+0.86057i,0.2159-0.1535i,0.29061+0.21513i,0.28645-0.21569i,0.2859+0.21488i,0.79326-0.21991i,-0.14842-0.79397i,0.71927-0.35424i,-0.64991+0.2243i,-0.36517+0.79648i,-0.78523+0.86265i,-0.86096+0.85704i,-0.35118+0.35389i,0.22245+0.7835i,0.29123+0.35456i,-0.21643+0.78875i
7,0.2531+0.75912i,0.79296+0.35791i,0.86313+0.79342i,-0.65952-0.14687i,0.14412-0.79541i,0.79742-0.8601i,0.35655-0.35136i,0.28696+0.7282i,-0.22022+0.35854i,-0.79633-0.72634i,-0.85835+0.65161i,-0.85793+0.87115i,-0.35023+0.85877i,0.22342+0.35125i,0.28994+0.28362i,0.78892-0.21837i,-0.65632-0.79883i,-0.36338+0.14727i,-0.28493+0.29126i,0.72194+0.78832i,-0.65742+0.85888i,0.65177-0.65862i,-0.6501+0.65006i,-0.86792-0.64709i,-0.85801-0.36472i,-0.35207+0.22228i,0.72531-0.21512i,0.35905+0.71955i,-0.22285+0.86325i,0.21422-0.15442i,-0.22001+0.20985i,-0.79432+0.79902i,0.15256-0.14628i,-0.21541-0.2944i,-0.79425-0.28109i,-0.35831+0.21659i,0.22101+0.79454i,-0.72089+0.35253i,-0.36498-0.73076i,0.22705-0.36217i,-0.21442+0.73419i,-0.79612-0.64983i,-0.3565+0.65134i,0.73043-0.14187i,-0.14767+0.72247i,-0.29338+0.86963i,0.22064+0.85869i,-0.21746-0.65747i,-0.79453+0.64907i,0.14838+0.87044i,-0.21404+0.85776i,-0.28658-0.15447i,0.72533+0.71731i,-0.14642-0.65447i,0.21168-0.86947i,-0.2148+0.15413i,-0.79717+0.80071i,-0.35662-0.6529i,0.22718+0.65202i,0.29037+0.36123i,0.79002-0.22412i,0.3545+0.2159i,0.28807+0.28639i,0.79381+0.2861i,0.35697+0.28469i,-0.2211+0.79212i,-0.79343-0.15132i,-0.35599+0.21103i,-0.2835+0.28937i,0.2217+0.28549i,-0.21778+0.28576i,0.72473+0.28762i,-0.65561+0.79522i,0.14625+0.86739i,-0.72076-0.66187i,-0.86332+0.65197i,-0.34956-0.14114i,-0.28406-0.8005i,0.72795+0.65705i,-0.14393-0.6504i,0.21521-0.86878i,0.79407+0.65756i,0.85846+0.86761i,0.86163-0.15781i,-0.65924+0.71735i,0.6501-0.65486i,-0.64961-0.87039i,0.14533+0.66069i,0.29341+0.36161i,0.28551+0.78768i,-0.72568-0.15083i,-0.86558+0.71937i,0.66069+0.86565i,-0.65017-0.65939i,0.1407+0.64984i,-0.21024+0.35891i,0.21622-0.22374i,-0.72103-0.28902i,-0.86428-0.78902i,-0.35354-0.86211i
8,-0.37159-0.61416i,-0.6651-0.94736i,-0.94429+0.25722i,0.74855-0.55991i,-0.739+0.28529i,-0.74298-0.069075i,-0.69827-0.63534i,-0.45027-0.45528i,0.075485+0.078093i,-0.59575-0.3527i,-0.70517+0.067447i,-0.20492-0.84395i,0.85467+0.74398i,0.48537-0.74011i,0.90705-0.98583i,0.24188+0.011451i,0.13883+0.88731i,-0.60129-0.25783i,0.036721-0.4277i,0.14738-0.66623i,0.38451+0.29163i,0.17594-0.071158i,-0.35358+0.59491i,-0.17243+0.45326i,-0.138-0.5687i,-0.13852-0.21053i,-0.38843-0.13438i,0.3203+0.35113i,0.17674+0.17168i,-0.3573-0.35681i,-0.9128-0.17666i,0.74762-0.14084i,0.49439+0.59915i,-0.32608+0.70457i,-0.91726+0.94455i,0.0098443-0.74929i,-0.10223-0.0029133i,0.35397+0.14562i,0.66744+0.13852i,0.69965-0.60185i,0.93833+0.28561i,-0.74923-0.066665i,0.73961+0.35306i,-0.73775-0.069789i,0.24552-0.1399i,0.92281-0.13701i,-0.5015+0.10372i,-0.46413-0.10778i,0.078906+0.84454i,-0.35105+0.73692i,0.070539-0.53598i,0.38974-0.45995i,0.91484-0.41319i,0.73513+0.32001i,-0.78489-0.3149i,-0.98965+0.56385i,0.0089324+0.20758i,0.63859-0.1109i,-0.52892+0.10596i,0.77351-0.35398i,-0.0025147-0.66261i,-0.64138+0.28874i,0.78078-0.55976i,-0.2481-0.45621i,0.30933+0.32321i,-0.80827-0.31748i,0.24869+0.56386i,-0.55886-0.035528i,-0.95292+0.84265i,0.25503+0.24179i,-0.80682+0.62729i,0.49183+0.20632i,-0.031528-0.85518i,0.10273+0.25187i,0.63424+0.91903i,-0.77897-0.49966i,-0.98347-0.70864i,-0.23441-0.94798i,0.85228-0.72942i,0.97958+0.78595i,0.48124+0.2453i,-0.32415-0.60619i,0.3166-0.70685i,0.17599-0.45036i,0.63155+0.56964i,-0.041453+0.20827i,-0.1423+0.13674i,-0.38527+0.3877i,-0.9134-0.077182i,-0.48689-0.38799i,0.8208+0.32056i,0.73355-0.064773i,0.45455+0.84574i,-0.56663-0.24888i,-0.21291+0.31363i,0.36028+0.91911i,-0.076129+0.73154i,-0.1439-0.78206i,-0.3816-0.74045i,0.56853+0.53612i
9,-0.76027+0.75834i,-0.35597+0.36036i,0.73231+0.27644i,0.35764-0.72562i,-0.22568-0.35683i,0.21563-0.28355i,0.28995-0.28706i,-0.72453-0.79274i,0.14807-0.86067i,-0.20959+0.15071i,0.72078+0.79849i,-0.65239+0.35725i,0.14515-0.73213i,-0.21139+0.14696i,-0.79799-0.71876i,-0.86293-0.3577i,0.15581+0.22907i,-0.21173-0.21459i,-0.79793-0.79209i,-0.35208-0.35222i,-0.79182-0.78896i,-0.35667+0.14524i,0.72593-0.21302i,-0.14688-0.28908i,-0.29041-0.78884i,0.21878-0.35398i,0.28861+0.2249i,0.28749-0.72254i,-0.72855-0.35721i,-0.86228-0.28174i,0.66034-0.28267i,-0.65445-0.28398i,-0.36498-0.28796i,0.22171+0.72745i,-0.72925-0.14618i,0.14609-0.28964i,0.29591+0.73035i,0.28414+0.35734i,0.79421+0.28139i,0.35706-0.2194i,-0.21935+0.21524i,-0.2899+0.79601i,0.727-0.14933i,-0.65196-0.79895i,-0.35955-0.35588i,0.22569+0.21808i,0.28996-0.72768i,-0.21953-0.35706i,-0.28616-0.2812i,-0.2824-0.79281i,-0.28401+0.66008i,-0.79166-0.13967i,0.15239-0.8016i,-0.7184+0.65891i,-0.86829+0.8682i,-0.86029-0.66041i,-0.35139+0.14152i,0.72825+0.29438i,0.86247+0.2831i,-0.1561-0.22015i,-0.79828-0.29077i,0.65615+0.21789i,-0.65024+0.28792i,0.65062+0.79322i,0.3596+0.35707i,-0.22512+0.78517i,-0.79225+0.86124i,0.6553+0.3493i,0.36374-0.72636i,-0.73257+0.1471i,-0.36283-0.21428i,0.22185-0.28988i,-0.21709+0.72405i,-0.79444-0.65583i,0.65761+0.65027i,-0.14312-0.64955i,-0.80156-0.8687i,-0.86072-0.85533i,-0.85747-0.85788i,0.65904-0.35122i,0.86537+0.73147i,0.35195+0.35734i,0.28188+0.28117i,0.2883+0.79624i,-0.2211-0.65538i,-0.28811-0.36233i,-0.79244-0.78918i,0.65513+0.65465i,0.86575+0.86978i,0.34988+0.85683i,-0.22275+0.35328i,0.72036-0.73092i,-0.65488-0.8653i,0.65156-0.85786i,0.87285+0.14958i,-0.15039-0.7192i,0.21118+0.65628i,-0.72068-0.64655i,0.14448+0.64576i,0.79603+0.86738i
10,0.75656-0.25704i,-0.65085-0.79381i,-0.36104+0.65792i,-0.28059+0.36097i,-0.79726-0.22635i,-0.86243+0.72443i,-0.8569-0.1437i,-0.34968-0.29099i,-0.78938-0.28608i,-0.35774+0.22204i,-0.78762-0.71929i,0.14969-0.3598i,-0.71692-0.79273i,-0.86351-0.86296i,0.65783-0.85607i,0.86876-0.35498i,0.86015+0.22473i,-0.14932-0.2133i,0.21603+0.21493i,-0.21569+0.79538i,-0.7922+0.86032i,0.65646-0.65744i,-0.65207-0.36268i,-0.36361-0.78623i,-0.28412-0.86191i,0.21953-0.3503i,0.29226+0.7298i,-0.72546+0.35895i,-0.36435+0.78931i,-0.78357+0.35736i,0.65535-0.22092i,-0.64857-0.79474i,-0.86603-0.35578i,0.1536+0.73156i,0.29585-0.65098i,0.28738+0.64743i,-0.72718-0.65083i,-0.86383-0.87092i,0.15654-0.8607i,0.80194+0.15154i,0.35685+0.2939i,-0.72866+0.28704i,0.65214-0.22156i,-0.14429+0.72221i,-0.80141+0.36261i,0.14858-0.22575i,0.29228-0.79632i,0.28314-0.86378i,-0.21606+0.15656i,-0.7942+0.2918i,0.14846+0.28453i,-0.72222-0.21607i,-0.36046+0.21452i,0.21918-0.7246i,-0.71921+0.14919i,0.6494+0.79772i,0.36359-0.1498i,0.2829+0.71582i,-0.72444+0.86048i,0.14416+0.85291i,0.29161-0.15459i,0.28434+0.2117i,0.28794+0.79451i,-0.21973+0.35424i,-0.79985-0.21953i,0.66056-0.28469i,0.86682+0.72144i,0.35086+0.86387i,-0.72716-0.66165i,-0.36258-0.36141i,0.72744+0.72666i,-0.14776+0.86359i,0.7172-0.66152i,0.36047+0.14434i,0.28282+0.29639i,0.28539+0.79455i,0.28634+0.86075i,0.2876-0.66366i,0.29032+0.14266i,-0.22033-0.71818i,-0.28926-0.35698i,0.21822-0.2826i,-0.72239-0.28883i,0.65159+0.21687i,-0.64987-0.2158i,-0.36214-0.28923i,0.72652-0.28817i,-0.65079-0.28315i,0.64972-0.28752i,-0.6507+0.22489i,-0.3626+0.29233i,-0.28112-0.73119i,-0.28884-0.35964i,0.72671+0.22556i,-0.64957-0.72112i,0.64946-0.86375i,-0.65009+0.66075i,0.14343+0.35914i,0.29333-0.22692i,0.2863-0.29059i
