Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Label
501,0.56584+0.56482i,0.63949+0.64153i,-0.49322+0.63801i,-0.64787+0.63955i,-0.64315-0.49121i,0.48935-0.64843i,0.64882-0.63995i,-0.48861+0.49757i,0.48437+0.64706i,0.64858+0.64039i,0.63974-0.4911i,-0.49722-0.64615i,-0.64872+0.49369i,0.49047-0.48485i,0.65058+0.48323i,-0.49351+0.6447i,0.48471-0.49149i,-0.48327+0.47949i,-0.6506+0.64704i,0.49534+0.64099i,-0.48306-0.49457i,-0.6505+0.48472i,0.48795+0.6462i,-0.48197+0.63632i,-0.65104+0.64004i,0.49111-0.49268i,-0.48509+0.48772i,0.48291+0.64672i,-0.48154+0.63841i,0.48332-0.49321i,-0.48353+0.48782i,-0.64436+0.64507i,0.49086-0.49014i,0.64697-0.65422i,0.636+0.49382i,0.63906-0.48196i,0.63852+0.48544i,0.63612+0.64527i,-0.49067-0.49269i,-0.65116-0.64976i,-0.64175+0.49232i,0.49257+0.64813i,-0.4854+0.63425i,-0.64555-0.4894i,-0.63768+0.4827i,-0.64122-0.48631i,-0.64204+0.48292i,-0.64173-0.48423i,-0.63762-0.64704i,0.49199+0.48997i,-0.48294+0.64551i,-0.64461-0.49169i,-0.64298+0.48385i,-0.63969-0.48653i,-0.64052-0.64536i,0.49482-0.63905i,-0.48337+0.48873i,0.48526-0.4832i,-0.48127-0.64473i,-0.64787-0.63931i,-0.64135-0.64246i,-0.6406-0.63788i,0.48939-0.6407i,-0.48537-0.63937i,-0.64549+0.49427i,-0.64308-0.48283i,-0.63726-0.64705i,0.49027-0.641i,0.64759-0.64058i,0.64107-0.64126i,0.64317+0.49207i,-0.48651+0.64661i,0.48813-0.48566i,-0.48317+0.48636i,-0.64599+0.64727i,0.49079+0.63956i,-0.48877-0.48962i,-0.64793+0.48621i,-0.64282+0.64538i,-0.63741+0.63808i,0.48829-0.48769i,0.65031-0.64982i,-0.49063-0.64249i,-0.64794+0.4941i,-0.64042+0.64414i,-0.63979-0.49242i,-0.64062+0.48633i,0.49386+0.64191i,0.64892-0.49196i,-0.48979-0.64586i,0.48407-0.64048i,0.64805+0.49017i,-0.49255-0.48261i,-0.64557+0.48199i,0.49276-0.48292i,-0.48801-0.64896i,-0.64822+0.49164i,-0.64153+0.64591i,-0.64025-0.49297i,0.48982+0.48454i,1
502,0.11913+0.61972i,-0.10446+0.7016i,-0.39101+0.44624i,-0.42262+0.91158i,0.82006+0.48509i,0.0010313-0.078298i,-0.1468+0.84331i,-0.1372-0.0035353i,-0.38655-0.39133i,0.56678-0.67073i,0.95283-0.7004i,0.73235-0.7013i,0.45322+0.7865i,0.66635-0.49244i,-0.53714-0.70991i,-0.21+0.53784i,-0.63344-0.28313i,0.04265+0.31657i,0.88782+0.92003i,-0.25639-0.25429i,0.55796+0.55854i,0.21298-0.032766i,0.63296-0.14262i,0.45618-0.63764i,-0.32212+0.53258i,-0.42396-0.52876i,-0.16899-0.20982i,-0.38565+0.84806i,0.81551-0.74063i,-0.24709+0.48994i,-0.67431-0.77285i,-0.20579-0.98391i,-0.13763+0.50258i,0.84793+0.21558i,0.9848-0.8529i,0.73497+0.24993i,-0.78343+0.18402i,0.25784-0.60491i,0.42764+0.7767i,0.66588+0.98936i,0.9487+0.97738i,-0.50143+0.23865i,0.77415-0.85347i,0.24792-0.24499i,-0.85169-0.1342i,-0.48526+0.10616i,-0.41032-0.10473i,-0.17361+0.60103i,-0.38573-0.28398i,0.3184-0.43152i,-0.80803-0.41832i,0.49629+0.57101i,-0.27885-0.53051i,-0.67207+0.52726i,-0.94401-0.27864i,0.0073138+0.80791i,-0.59346-0.25044i,0.28421-0.67595i,-0.31445+0.53453i,0.80695+0.45797i,0.49023+0.66695i,0.41887-0.2881i,0.66174-0.42586i,0.94269+0.079422i,-0.25253+0.88401i,0.31184-0.25327i,0.67017-0.42476i,-0.78226+0.080047i,0.2457-0.35161i,-0.80403+0.56628i,-0.001897+0.2154i,0.14279+0.87637i,-0.84818+0.49027i,-0.49011+0.90928i,-0.9081-0.74967i,-0.97834-0.74039i,0.74981-0.94146i,0.49766+0.25827i,0.65769-0.5599i,-0.04-0.70848i,-0.14433+0.2923i,0.60202+0.66917i,0.45817-0.041946i,-0.57738+0.10402i,-0.95384-0.84483i,-0.98021-0.73839i,-0.4825+0.7852i,0.81505+0.49238i,0.4897-0.080179i,-0.077814+0.60197i,-0.14314+0.2128i,-0.88118+0.38301i,-0.73844+0.17586i,0.039714+0.8747i,-0.59736+0.98368i,0.037964-0.013188i,0.14453+0.34726i,-0.84631+0.17601i,-0.98447+0.87862i,0.50358+0.24189i,3
503,-0.61303+0.86338i,0.77945-0.74513i,-0.74498+0.24405i,-0.74242+0.18456i,0.29282+0.38622i,0.17821+0.17515i,0.87939+0.88136i,-0.74806-0.0066938i,0.0010242-0.63493i,0.39334+0.53012i,0.17301-0.52836i,-0.84983+0.033406i,-0.48865-0.10156i,-0.16623-0.88072i,-0.87698-0.48574i,0.25233+0.3244i,-0.3109-0.31675i,-0.17318-0.17972i,0.85078+0.35349i,0.24436-0.32122i,0.12737-0.42511i,0.13761-0.66652i,0.6353-0.69724i,-0.53551-0.94677i,0.52854+0.50443i,0.21526-0.28167i,0.38099-0.42404i,-0.81511-0.66547i,0.74542+0.041603i,-0.73857-0.59564i,-0.24971+0.78109i,-0.87335-0.49441i,0.25138+0.52628i,-0.31251-0.2819i,-0.4249-0.6725i,0.56846+0.53444i,0.94981-0.77769i,-0.0081063-0.49116i,0.10123+0.81694i,-0.8443-0.24765i,0.49883-0.67799i,0.45971+0.040244i,0.17229-0.84228i,-0.10541+0.49562i,-0.14535-0.27682i,0.35252+0.80311i,-0.070627-0.2464i,-0.39211+0.3114i,-0.41579-0.070078i,0.07237+0.59845i,0.88556+0.70188i,0.24196+0.69706i,0.62989+0.44947i,0.20822-0.8166i,-0.35846-0.24488i,0.56415-0.62575i,0.46158+0.53682i,-0.077492+0.45746i,-0.63615-0.32437i,0.038408+0.31576i,0.39468-0.067688i,-0.073143+0.84049i,-0.6407-0.74834i,0.53238-0.9928i,-0.52617+0.012646i,0.28297-0.83756i,-0.56095-0.98446i,0.77645-0.72976i,0.98382+0.78432i,-0.50382+0.98458i,-0.70845-0.25439i,0.53941-0.42675i,-0.52611+0.56953i,0.52838-0.77623i,0.71167+0.24803i,-0.53813+0.67073i,-0.45925-0.78184i,0.075257-0.4931i,0.63786-0.16813i,-0.53453+0.10648i,-0.95469-0.59822i,-0.48356+0.035888i,-0.90665-0.34949i,0.4985-0.42408i,-0.28056+0.32387i,0.31843-0.80873i,-0.56938+0.74496i,-0.45904+0.00099627i,0.079911-0.14751i,-0.35077-0.87819i,-0.17581-0.24546i,0.10826-0.38322i,-0.10447+0.81628i,0.60121+0.49437i,0.70139-0.32502i,0.2025+0.31733i,-0.60445-0.56433i,-0.94632-0.95444i,-0.97838-0.73451i,-0.23677+0.2924i,3
504,-0.61521+0.61961i,-0.69804-0.77215i,0.042887+0.74373i,0.14421+0.74211i,0.38626-0.28937i,-0.5689+0.31636i,0.5306+0.42103i,-0.030735+0.66153i,0.34756-0.041003i,-0.81408-0.39223i,0.24742+0.32126i,-0.067536+0.42409i,-0.39151-0.56735i,0.56797+0.53141i,-0.77685-0.28007i,-0.98592+0.31439i,-0.7322+0.91706i,-0.9405-0.0091542i,0.75023-0.63751i,0.0021899+0.78106i,-0.88818+0.73792i,0.25499-0.78665i,-0.80355+0.74053i,-0.73525-0.24556i,0.78436+0.3134i,-0.49543-0.81396i,-0.21154-0.48947i,-0.87576-0.17042i,-0.0021062-0.62919i,0.88545+0.28655i,0.9833+0.91793i,0.97499-0.0057618i,-0.0075889-0.3935i,0.59105+0.57007i,0.45564+0.4626i,0.41528-0.56886i,0.17212-0.4561i,-0.10555-0.1679i,0.10272+0.35489i,0.1396-0.071515i,0.63279+0.10121i,-0.28167+0.14348i,0.80687-0.84816i,-0.24725+0.002519i,0.8048+0.1436i,0.98505-0.10739i,0.97783+0.10802i,0.23124+0.38653i,0.13939-0.32346i,-0.10465+0.81048i,0.35271-0.003366i,0.41905+0.34762i,0.41345-0.06981i,0.17499-0.63676i,-0.35428-0.95319i,-0.66836+0.50102i,-0.70456-0.52627i,-0.2004-0.70827i,0.8524-0.69751i,0.74048+0.28972i,-0.78516+0.17684i,0.24782+0.62755i,-0.80627+0.95179i,-0.49202-0.010207i,-0.66506-0.88746i,-0.20797-0.97872i,-0.63292+0.0099852i,-0.9483-0.5907i,-0.48313-0.69945i,-0.41247+0.54173i,-0.1704-0.036319i,0.10982-0.3913i,-0.84831+0.56593i,0.25048-0.040584i,0.67074+0.10434i,0.45673-0.35239i,-0.81415-0.66753i,-0.73997+0.28878i,0.53661+0.18144i,-0.5306+0.38579i,0.52432-0.068523i,0.20996+0.84676i,0.87577+0.9836i,0.48547+0.48122i,-0.07565-0.57498i,0.099747+0.28363i,-0.84489+0.42494i,-0.73477-0.32086i,-0.69591+0.076616i,0.78226-0.10167i,0.49215+0.10792i,0.66076+0.14404i,0.94925+0.63667i,0.73153-0.040398i,-0.043473+0.59415i,-0.63616+0.9512i,-0.20898+0.97491i,0.60381+0.48456i,0.45699-0.81922i,-0.81835+0.74253i,3
505,-0.7621-0.25699i,0.65312-0.79201i,-0.14209+0.14984i,-0.29166+0.79596i,0.21861+0.86138i,0.28896-0.66308i,0.79163+0.14234i,0.86245+0.79849i,-0.1557-0.65174i,0.7188-0.8662i,0.86775+0.15767i,-0.65812+0.79716i,-0.361-0.14785i,0.22692+0.72102i,0.79811+0.36188i,-0.65711+0.78656i,0.14421-0.15201i,-0.21322+0.21082i,0.21877-0.21962i,-0.7232-0.79451i,0.65472-0.35742i,0.36188+0.22401i,0.28168+0.79642i,0.28624+0.35483i,-0.72617-0.72857i,-0.3607-0.3581i,0.22522-0.28454i,0.28941-0.79393i,0.2883-0.3557i,-0.72221-0.28359i,-0.86546+0.72775i,-0.86026-0.14824i,-0.86036+0.21276i,0.65933+0.79741i,-0.13948+0.35777i,-0.79763+0.79201i,-0.85905+0.35968i,0.15406-0.22141i,-0.21377+0.72136i,-0.2925+0.35966i,0.21813+0.79049i,-0.72364-0.65959i,0.65401+0.65034i,-0.14013-0.14528i,0.21322-0.29611i,0.7957+0.21829i,-0.14954+0.28787i,0.72302-0.72577i,0.3641-0.35827i,-0.73155+0.22283i,0.14552+0.29035i,0.79827-0.21547i,0.86553-0.79754i,0.85694-0.35643i,0.85811-0.78641i,0.85695+0.15021i,0.35129-0.72025i,-0.22227+0.15116i,-0.28926+0.29417i,0.21844-0.22015i,-0.72319-0.79772i,0.6539-0.8649i,0.87162-0.3524i,-0.1554-0.7925i,-0.79886-0.86329i,-0.35509-0.35347i,0.72623+0.22075i,0.86513-0.21803i,-0.15449-0.29028i,-0.29442-0.79307i,-0.28701-0.35296i,0.2189-0.28262i,-0.72282-0.28706i,-0.86369-0.7916i,0.15783+0.6549i,-0.71584+0.36055i,-0.35808-0.22175i,0.724-0.2954i,0.8638+0.72968i,-0.66026+0.36174i,0.65057+0.28351i,0.36522-0.72687i,-0.22302+0.64856i,-0.28967-0.64848i,0.72617+0.65088i,-0.65656+0.36314i,0.14573+0.78848i,-0.21091+0.86195i,-0.29246+0.35482i,-0.79723-0.2242i,-0.85885+0.21583i,-0.35278+0.28702i,-0.78935+0.28395i,0.65236-0.72801i,-0.64846-0.3565i,0.14671+0.72761i,0.79955-0.14662i,-0.1485+0.72023i,0.21662-0.14605i,0.29243+0.21239i,2
506,0.56656-0.56079i,-0.48969-0.64367i,-0.64806-0.64096i,0.49026-0.63846i,-0.48029-0.64021i,0.48116-0.63729i,-0.48185+0.4925i,-0.64824-0.486i,0.49184+0.48358i,0.64517+0.64457i,0.63942-0.49292i,-0.49266-0.64621i,0.48547-0.64013i,-0.48492+0.49297i,0.48457+0.6468i,-0.4855-0.49035i,0.48415+0.48349i,0.64653-0.48096i,-0.49458+0.47964i,-0.64424+0.63963i,0.48832+0.64018i,0.64829-0.4903i,-0.48921+0.48366i,0.48879-0.48683i,0.64989-0.64882i,0.64211+0.4917i,-0.49209+0.64557i,0.48497-0.48574i,0.65033+0.48391i,0.63791-0.48181i,0.64262+0.48413i,-0.48763-0.48203i,0.48417-0.64688i,0.64964+0.48973i,0.63985-0.48528i,0.64094-0.64949i,0.642+0.48848i,0.64119-0.48312i,0.63996-0.64634i,-0.49285+0.49354i,0.48274-0.48563i,0.64554-0.64613i,0.6382+0.49255i,-0.49312+0.64316i,0.48308-0.49387i,0.64699-0.64645i,0.63762+0.49337i,0.63956-0.48352i,0.64211+0.48367i,0.63739-0.48338i,-0.49755+0.48224i,0.4852+0.64741i,-0.48769-0.48842i,-0.64764+0.48392i,-0.63972-0.48901i,-0.64064+0.48159i,0.48965+0.64606i,-0.48662-0.49179i,0.48524-0.64906i,0.64563+0.49316i,0.64099+0.64564i,-0.4938+0.64131i,-0.64228-0.49076i,0.49452-0.64784i,0.65042-0.63708i,-0.49103+0.48863i,-0.64461+0.6484i,-0.6377-0.4944i,-0.64221+0.48445i,-0.63725+0.6453i,0.48793-0.49087i,0.64816-0.64845i,0.64525-0.63918i,0.64059-0.63504i,0.63838-0.64235i,-0.49144-0.63824i,0.48338-0.64159i,-0.48463+0.49303i,-0.6472-0.48537i,-0.64058+0.48184i,-0.63428-0.48448i,0.49298-0.64646i,-0.48745-0.63596i,-0.65095+0.49068i,0.49327-0.4845i,-0.48601+0.48269i,-0.64789-0.48686i,-0.63898+0.48643i,0.49267-0.48404i,0.64598+0.48732i,-0.49296-0.47914i,0.48308+0.4796i,-0.48267+0.65083i,0.48468-0.49194i,0.64656-0.64611i,0.63464+0.49263i,0.63658-0.48275i,-0.49306+0.48117i,0.48612+0.64432i,0.64873-0.48974i,1
507,-0.86469-0.12072i,-0.24479-0.1414i,0.85388-0.62987i,-0.74623-0.20685i,0.24283-0.8796i,0.67319-0.98162i,-0.044014-0.23506i,-0.39221+0.11477i,0.073499+0.38533i,0.88105-0.81418i,0.49102-0.98835i,0.90886-0.48624i,0.98211+0.8206i,0.23585+0.98627i,-0.60425-0.50352i,0.53327-0.70655i,-0.27656-0.44652i,-0.91817-0.66231i,0.74746-0.94681i,0.9905-0.23889i,0.97939-0.62346i,0.97406+0.77412i,0.97853+0.99122i,0.73173-0.010247i,0.94274+0.10064i,-0.49997+0.38848i,0.77116+0.42037i,-0.74135-0.5727i,-0.74517-0.95061i,0.046136+0.49883i,0.38947+0.46396i,0.17548+0.65988i,0.13685-0.29215i,-0.84648+0.56243i,0.25149+0.21581i,0.92284+0.37721i,-0.25321+0.42429i,0.80737-0.078029i,-0.00024223-0.1421i,0.59119-0.38735i,-0.2872-0.17671i,0.81379-0.6302i,-0.49435-0.70672i,-0.95257+0.042041i,-0.97927-0.5964i,-0.48531-0.94579i,0.32277+0.25649i,0.91914+0.42677i,-0.0088536+0.16728i,-0.88414+0.38321i,-0.24025-0.075002i,0.11444+0.59916i,-0.10817-0.2864i,-0.63579-0.91711i,0.28555-0.48616i,-0.31015+0.57278i,-0.42572+0.20963i,0.074225+0.62865i,0.63734-0.039581i,0.45363+0.34971i,-0.073702+0.42379i,-0.88226-0.56972i,0.7465+0.53242i,-0.49287+0.70642i,-0.70625-0.28844i,0.53269+0.5631i,-0.032639-0.77905i,-0.88659-0.0020038i,-0.73701-0.59263i,0.043515-0.95177i,-0.59605+0.25836i,0.52924+0.67354i,-0.77346-0.29028i,0.74032-0.42527i,0.24847+0.56873i,-0.36139+0.45708i,0.070558-0.81683i,-0.84384-0.98462i,0.49864+0.25803i,-0.037401+0.67032i,0.3515-0.041201i,0.67064-0.14436i,0.94849-0.63211i,0.9786-0.94257i,0.97574+0.50402i,-0.0097522+0.21221i,-0.14806-0.11244i,0.10512+0.84373i,-0.85035+0.98358i,0.0011718-0.2546i,0.88725+0.069139i,-0.006922+0.63916i,0.10093-0.5334i,0.63272+0.2817i,0.94935+0.18346i,-0.50297-0.10822i,0.77055+0.84494i,0.49532+0.2405i,0.4139-0.35937i,0.17127-0.66869i,3
508,0.7612+0.76392i,-0.14828+0.35371i,-0.79858-0.72987i,0.14974-0.86608i,-0.71813+0.15312i,0.65531-0.71891i,0.36027-0.36005i,0.78666+0.73118i,-0.15358-0.14716i,0.71865+0.21067i,-0.14864-0.71989i,0.21304-0.85583i,0.79193+0.65891i,0.35495+0.87101i,-0.73021-0.66398i,-0.35742+0.14822i,-0.28485-0.20991i,0.21736-0.29473i,-0.72056+0.21977i,-0.86939+0.28797i,-0.85765-0.72225i,0.15588-0.86472i,0.79736+0.1573i,0.35226+0.79717i,-0.72852-0.6561i,0.65407+0.13944i,0.86879+0.79895i,0.35432+0.86402i,-0.72746+0.85837i,0.14571-0.66211i,0.80012-0.87107i,-0.65848-0.85609i,0.14617-0.85673i,0.29464-0.85883i,-0.72429-0.35313i,-0.8676-0.28136i,-0.86069+0.72806i,0.15296-0.14814i,0.80198-0.79805i,0.86255-0.35497i,0.35094-0.78398i,0.28433-0.85978i,0.28779+0.15575i,-0.21679+0.7977i,0.72224-0.65834i,-0.14328+0.14613i,-0.29155+0.80169i,0.72849-0.65409i,0.35917-0.86915i,0.27718+0.66107i,0.28433-0.14585i,0.79118+0.21719i,0.35494-0.21271i,-0.72818+0.21319i,-0.8605-0.72778i,0.65919-0.3582i,0.36114+0.72983i,-0.73312-0.14798i,-0.86512+0.21522i,0.15759-0.72246i,-0.21401+0.14764i,-0.29023-0.20904i,-0.28878-0.29042i,-0.79472+0.72435i,0.14861+0.35772i,-0.2141+0.79067i,0.21546+0.35557i,-0.21653-0.22263i,-0.28821+0.2144i,0.21816-0.72548i,-0.72403+0.14685i,0.65166+0.29313i,0.8718+0.28734i,-0.66205-0.21993i,0.14359-0.28781i,0.79871-0.79312i,0.35435+0.65722i,0.79342-0.6519i,-0.14887+0.14155i,0.21125+0.29515i,0.7945-0.21989i,0.85775+0.21837i,0.85758-0.72383i,-0.15363-0.86568i,0.72316+0.66228i,0.35947+0.36241i,-0.72693+0.2809i,0.65208+0.28836i,0.3611+0.79175i,-0.72866+0.35667i,-0.86035-0.72724i,0.15336-0.35569i,-0.21247-0.28838i,-0.29272+0.22032i,-0.79483+0.79348i,0.15116-0.65558i,-0.72094-0.86931i,0.14875-0.35219i,-0.21587-0.28295i,0.21303+0.72642i,2
509,0.56599+0.56592i,0.64561-0.48901i,0.64149-0.64899i,-0.48924+0.4907i,-0.64999-0.48744i,0.49323+0.48984i,-0.491-0.48431i,-0.64451+0.48393i,-0.64038+0.64703i,0.49057+0.63986i,0.64608+0.63702i,-0.49174-0.49216i,-0.65133+0.48453i,-0.64427-0.4874i,-0.63884-0.65031i,0.49265-0.64135i,-0.48291+0.48852i,-0.6483+0.64356i,-0.63868-0.49548i,-0.63828-0.64984i,0.48748-0.6398i,-0.48469-0.63967i,-0.64718+0.48942i,0.49627+0.64365i,-0.48472-0.49196i,0.48459+0.485i,0.64594-0.48337i,-0.49011+0.48288i,0.48101-0.48345i,-0.48239-0.64491i,-0.6473+0.49254i,0.48998+0.65124i,-0.48311+0.64085i,-0.64051-0.49175i,-0.6394+0.48238i,-0.63981-0.48439i,0.48675-0.64549i,-0.48553+0.48988i,0.48435+0.64697i,-0.48519+0.64105i,-0.64857-0.48896i,0.4943+0.48208i,0.64571+0.64709i,0.64066+0.64171i,0.63738-0.48852i,-0.49125+0.48158i,0.48499-0.48488i,-0.48501+0.48173i,-0.648-0.48283i,0.49155-0.64883i,-0.48369-0.63802i,-0.64509-0.64167i,-0.63621+0.4937i,0.49359+0.64783i,0.6507+0.63918i,0.64063+0.63979i,-0.49085+0.64047i,-0.64984+0.63906i,0.4912-0.49305i,0.64563-0.65046i,0.64131+0.48578i,0.64009+0.64202i,-0.48882-0.48914i,-0.65241-0.64833i,-0.6429-0.63938i,-0.63829+0.49169i,0.49511-0.4847i,0.64942-0.64944i,0.64068-0.63967i,0.64387+0.49297i,-0.49047-0.48328i,-0.64583-0.64792i,0.4938+0.48887i,-0.48383-0.48292i,0.48224-0.64665i,0.6481-0.63741i,-0.49376+0.49148i,-0.64397-0.48319i,0.49071+0.48427i,0.64585-0.48627i,0.63604-0.64685i,0.64369-0.6401i,0.64104-0.63954i,0.63858-0.63222i,0.64147+0.4889i,0.63906-0.48042i,0.63965+0.48502i,0.64198+0.64752i,-0.49358-0.49283i,0.48591+0.4856i,-0.48122-0.48555i,-0.64893-0.65139i,-0.63878+0.48831i,-0.63749+0.64583i,-0.63537-0.49172i,-0.63937-0.64897i,-0.63992+0.49215i,0.49169+0.64563i,-0.48365+0.63713i,0.47865+0.63853i,1
510,0.37098+0.3722i,0.42167-0.31872i,0.17209-0.92189i,-0.60043-0.73265i,0.53217+0.785i,-0.27705+0.0019217i,0.56148-0.88783i,-0.77601-0.98205i,0.74203+0.50586i,-0.49316-0.28012i,0.28115-0.17616i,0.17715+0.35499i,0.13747-0.8103i,-0.84691+0.24482i,-0.23821+0.92016i,-0.62951+0.48908i,-0.70063+0.66369i,-0.44891+0.45803i,0.57104-0.3223i,-0.52943+0.56416i,-0.95366-0.7755i,-0.9796-0.98485i,0.75101+0.50147i,0.49627-0.03289i,-0.084187+0.84236i,-0.385+0.24322i,-0.66651-0.11156i,-0.69675+0.84661i,0.044179-0.74267i,0.64059-0.74482i,-0.77821+0.5384i,0.74017+0.21388i,0.49309-0.84763i,-0.32692+0.7426i,0.56716-0.49289i,-0.035285+0.031844i,-0.39546-0.84369i,0.81514+0.49389i,0.24849-0.52939i,-0.8521+0.52996i,-0.48676-0.52579i,-0.66562+0.27877i,0.53821-0.068681i,-0.28024-0.88526i,0.31929+0.0052764i,-0.31519-0.098568i,-0.67201+0.59739i,-0.45279+0.45443i,0.078232-0.81746i,-0.34907+0.25058i,0.31787-0.065772i,-0.31531-0.39257i,0.06887+0.076762i,-0.10365+0.63569i,0.35482-0.53165i,-0.56643-0.21444i,-0.70748-0.1365i,-0.20613+0.10681i,0.85191+0.8805i,-0.50007+0.73024i,-0.21441+0.69576i,-0.13536+0.69729i,-0.38653-0.039958i,-0.91432+0.10256i,0.25706-0.6024i,-0.31285+0.53224i,0.56184+0.95383i,-0.27968+0.48715i,-0.91844+0.66078i,0.0077174+0.45086i,-0.84152-0.078707i,0.25105+0.84124i,-0.80334-0.74536i,-0.73917-0.24687i,0.78685+0.85601i,-0.49141-0.0082784i,0.27909-0.39068i,-0.31287-0.91355i,-0.67284+0.0068683i,0.28834-0.59707i,0.17825-0.70243i,-0.35358-0.70119i,-0.42368-0.69945i,-0.1712+0.53672i,0.35455+0.46018i,-0.81176+0.91363i,-0.74182-0.25568i,-0.9425+0.31162i,-0.48393-0.31946i,-0.41923+0.070956i,-0.17273+0.38719i,0.60428+0.66479i,-0.77651-0.037547i,0.00014229-0.39089i,-0.83867+0.56866i,-0.48851-0.2838i,-0.16843+0.31643i,0.10947+0.42135i,0.38935+0.66817i,0.42202+0.94583i,3
